Name,layer,Catchment,COUNTYID,COUNTYCODE,COUNTYNAME,COUNTYENG
金峰溫泉 Jinfeng Hotspring ,hot_spring,jinfeng,V,10014,臺東縣,Taitung County
紅葉溫泉 Hongye Hot Spring,hot_spring,red_leaf,V,10014,臺東縣,Taitung County
排骨溪溫泉 Pork Ribs River Hot Spring ,hot_spring,pork_ribs,G,10002,宜蘭縣,Yilan County
梵梵溫泉 2 Fanfan Hot Spring 2 ,hot_spring,fanfan,G,10002,宜蘭縣,Yilan County
梵梵溫泉 1 Fanfan Hot Spring 1 ,hot_spring,fanfan,G,10002,宜蘭縣,Yilan County
嘎拉賀温泉瀑布 Galahe Hotspring Waterfall ,hot_spring,galahe,H,68000,桃園市,Taoyuan City
嘎拉賀温泉瀑布 Galahe Hotspring Waterfall ,hot_spring,taman,H,68000,桃園市,Taoyuan City
嘎拉賀温泉瀑布 Galahe Hotspring Waterfall ,hot_spring,tieshan,H,68000,桃園市,Taoyuan City
泰崗溫泉 Taigang Hot Spring  ,hot_spring,taigang,J,10004,新竹縣,Hsinchu County
泰崗溫泉 Taigang Hot Spring  ,hot_spring,xiuluan,J,10004,新竹縣,Hsinchu County
泰崗溫泉 Taigang Hot Spring  ,hot_spring,youling,J,10004,新竹縣,Hsinchu County
泰崗溫泉 Taigang Hot Spring  ,hot_spring,yufeng_river_spirit_pool,J,10004,新竹縣,Hsinchu County
太魯灣溫泉 Tailuwan Hot Spring,hot_spring,jingying,M,10008,南投縣,Nantou County
春陽溫泉 Chunyang Hot Spring,hot_spring,jingying,M,10008,南投縣,Nantou County
雲海溫泉 Yunhai Hot Spring,hot_spring,jingying,M,10008,南投縣,Nantou County
馬陵野溪溫泉一號 Maling Hot Spring 1,hot_spring,maling,B,66000,臺中市,Taichung City
馬陵野溪溫泉二號 Maling Hot Spring 2,hot_spring,maling,B,66000,臺中市,Taichung City
石洞溫泉 Shidong Hot Spring,hot_spring,qikeng,E,64000,高雄市,Kaohsiung City
文山溫泉 Wenshan Hot Spring,hot_spring,liqin,U,10015,花蓮縣,Hualien County
文山溫泉 Wenshan Hot Spring,hot_spring,wenshan,U,10015,花蓮縣,Hualien County
瑞岩溫泉 Ruiyan Hot Spring,hot_spring,ruiyan,M,10008,南投縣,Nantou County
七坑溫泉 Qikeng Hot Spring,hot_spring,qikeng,E,64000,高雄市,Kaohsiung City
十坑溫泉 Shikeng Hot Spring,hot_spring,qikeng,E,64000,高雄市,Kaohsiung City
土阪溫泉 Tuban Hot Spring,hot_spring,tuban,V,10014,臺東縣,Taitung County
復興溫泉 Fuxing Hot Spring,hot_spring,lao_nong_river,E,64000,高雄市,Kaohsiung City
上里溫泉 Shangli Hot Spring,hot_spring,red_leaf,V,10014,臺東縣,Taitung County
大武溫泉 Dawu Hot Spring,hot_spring,ailiao_north_river,T,10013,屏東縣,Pingtung County
摩里沙卡洞穴溫泉 Malishaka Cave Hot Spring,hot_spring,malishaka,U,10015,花蓮縣,Hualien County
天狗溪噴泉To Tiangou Geyser,hot_spring,tiangou_river,G,10002,宜蘭縣,Yilan County
濁口溪 Zhuokou River,kayak,zhuokou_river,E,64000,高雄市,Kaohsiung City
隘寮北溪 Ailiao North River,kayak,ailiao_north_river,T,10013,屏東縣,Pingtung County
馬武窟溪口 Mawuku River Estruary,kayak,mawuku,V,10014,臺東縣,Taitung County
湖濱公園 Lakeside Park,lake_camp,white_horse,Q,10010,嘉義縣,Chiayi County
楠西堰塞湖二號 Nanxi Earthquake Lake #2,lake_camp,nanxi,D,67000,臺南市,Tainan City
楠西堰塞湖三號 Nanxi Earthquake Lake #3,lake_camp,nanxi,D,67000,臺南市,Tainan City
楠西堰塞湖一號 Nanxi Earthquake Lake #1,lake_camp,nanxi,D,67000,臺南市,Tainan City
九份二山堰塞湖露營 921 Earthquake Lakes Camping,lake_camp,sezikeng,M,10008,南投縣,Nantou County
福壽山露營 Fushou Mountain Camping ,lake_camp,fushou,M,10008,南投縣,Nantou County
福壽山露營 Fushou Mountain Camping ,lake_camp,maling,M,10008,南投縣,Nantou County
塔塔加露營 Tatajia Camping,lake_camp,tatajia,M,10008,南投縣,Nantou County
九份二山堰塞湖露營 921 Earthquake Lakes Camping,lake_camp,sezikeng,M,10008,南投縣,Nantou County
韭菜湖 Jiucaihu Lake,lake_camp,sezikeng,M,10008,南投縣,Nantou County
澀仔坑湖 Sezikeng Lake,lake_camp,sezikeng,M,10008,南投縣,Nantou County
湖濱公園 Lakeside Park,lake_camp,white_horse,Q,10010,嘉義縣,Chiayi County
白馬亭 White Horse Pavilion,lake_camp,white_horse,Q,10010,嘉義縣,Chiayi County
湖濱公園 Lakeside Park,lake_camp,white_horse,Q,10010,嘉義縣,Chiayi County
湖濱公園 Lakeside Park,lake_camp,white_horse,Q,10010,嘉義縣,Chiayi County
仙湖 Celestial Lake,lake_camp,celestial,J,10004,新竹縣,Hsinchu County
天狗溪瀑布 Tiangou Waterfall,lake_camp,tiangou_river,G,10002,宜蘭縣,Yilan County
七孔瀑布 Seven Holes Waterfall,lake_camp,seven_holes,T,10013,屏東縣,Pingtung County
拉克斯溪游泳池  Lakesi River Swimming Pools,lake_camp,lao_nong_river,E,64000,高雄市,Kaohsiung City
石頭溪堰塞湖  Rock River Landslide Lake,lake_camp,rock_river,G,10002,宜蘭縣,Yilan County
伊拉瀑布 Yila Top Waterfall  ,waterfall,ailiao_north_river,T,10013,屏東縣,Pingtung County
伊拉瀑布 Yila Waterfall ,waterfall,ailiao_north_river,T,10013,屏東縣,Pingtung County
神山瀑布 Shenshan Waterfall  ,waterfall,ailiao_north_river,T,10013,屏東縣,Pingtung County
神山瀑布中 Shenshan Middle Waterfall ,waterfall,ailiao_north_river,T,10013,屏東縣,Pingtung County
神山瀑布 Shenshan Lower Waterfall ,waterfall,ailiao_north_river,T,10013,屏東縣,Pingtung County
武潭瀑布 (東西瀑布) Wutan Waterfall (Dongxi Waterfall) ,waterfall,dong_gang_river,T,10013,屏東縣,Pingtung County
武潭瀑布上 (東西瀑布上) Wutan Waterfall (Dongxi Waterfall) Upper ,waterfall,dong_gang_river,T,10013,屏東縣,Pingtung County
神鷹瀑布下 Eagle God Waterfall Lower ,waterfall,lin_bian_river,T,10013,屏東縣,Pingtung County
神鷹瀑布中 Eagle God Waterfall Middle,waterfall,lin_bian_river,T,10013,屏東縣,Pingtung County
神鷹瀑布上 Eagle God Waterfall Upper,waterfall,lin_bian_river,T,10013,屏東縣,Pingtung County
鴛鴦瀑布 Yuanyang Waterfall ,waterfall,lin_bian_river,T,10013,屏東縣,Pingtung County
小瀑布 Small Waterfall,waterfall,lin_bian_river,T,10013,屏東縣,Pingtung County
牛角溪瀑布群下 Oxbow Creek Waterfalls Group Lower,waterfall,oxbow_creek_river,T,10013,屏東縣,Pingtung County
牛角溪瀑布群上 Oxbow Creek Waterfalls Group Upper,waterfall,oxbow_creek_river,T,10013,屏東縣,Pingtung County
獅王瀑布 Lion King Waterfall,waterfall,ailiao_south_river,T,10013,屏東縣,Pingtung County
鹿溪瀑布 Deer Creek Waterfall,waterfall,ailiao_south_river,T,10013,屏東縣,Pingtung County
兩頭蛇瀑布 Malagagulis Waterfall ,waterfall,ailiao_south_river,T,10013,屏東縣,Pingtung County
沙拉灣瀑布 Shalawan Waterfall,waterfall,ailiao_south_river,T,10013,屏東縣,Pingtung County
小瀑布 Small Waterfall ,waterfall,ailiao_south_river,T,10013,屏東縣,Pingtung County
路邊的瀑布 Roadside Waterfall ,waterfall,ailiao_south_river,T,10013,屏東縣,Pingtung County
路邊的瀑布 Roadside Waterfall,waterfall,ailiao_south_river,T,10013,屏東縣,Pingtung County
泰武鄉 Puljeti Waterfall  佳興橋瀑布,waterfall,lin_bian_river,T,10013,屏東縣,Pingtung County
海神瀑布 Ocean Gods's Waterfall ,waterfall,sand_river,T,10013,屏東縣,Pingtung County
小瀑布 Small Waterfall ,waterfall,sand_river,T,10013,屏東縣,Pingtung County
小瀑布 Small Waterfall,waterfall,sand_river,T,10013,屏東縣,Pingtung County
海神宮 Ocean God's Pools ,waterfall,sand_river,T,10013,屏東縣,Pingtung County
日暮瀑布 Sunset Waterfall ,waterfall,lili_river,T,10013,屏東縣,Pingtung County
打鼓谷瀑布第一層 Drumline Canyon Waterfall 1st Tier   ,waterfall,drumline_canyon_river,T,10013,屏東縣,Pingtung County
打鼓谷瀑布第三層 Drumline Canyon Waterfall 3rd Tier ,waterfall,drumline_canyon_river,T,10013,屏東縣,Pingtung County
青龍瀑布跳水 Green Dragon Waterfall Driving Spot ,waterfall,cao_shan_river,Q,10010,嘉義縣,Chiayi County
青龍瀑布海灘 Green Dragon Waterfall Beach ,waterfall,cao_shan_river,Q,10010,嘉義縣,Chiayi County
戰備道路橋瀑布 Zhuanbei Bridge Waterfall ,waterfall,qingyun,Q,10010,嘉義縣,Chiayi County
青龍瀑布 Green Dragon Waterfall  ,waterfall,cao_shan_river,Q,10010,嘉義縣,Chiayi County
草山瀑布 Caoshan Waterfall ,waterfall,cao_shan_river,Q,10010,嘉義縣,Chiayi County
青雲瀑布 Qingyun Waterfall,waterfall,qingyun,Q,10010,嘉義縣,Chiayi County
來義路邊的瀑布 Layi Roadside Waterfall ,waterfall,lin_bian_river,T,10013,屏東縣,Pingtung County
舊白鷺橋瀑布 Old Bailu Bridge Waterfall ,waterfall,old_bailu,T,10013,屏東縣,Pingtung County
葫蘆谷瀑布 Gourd Valley ,waterfall,dai_zhi,E,64000,高雄市,Kaohsiung City
情人谷第二層 Lover's Gorge 2nd Tier ,waterfall,taiwanaxi,E,64000,高雄市,Kaohsiung City
幽情瀑布 Youqing Waterfall ,waterfall,taiwanaxi,E,64000,高雄市,Kaohsiung City
拉把力安瀑布 La'ba'li'an waterfall,waterfall,ailiao_north_river,T,10013,屏東縣,Pingtung County
